time,pH,EC,ORP,Temperature
2023-11-30 15:39:31,6.39,1881.0,128.4,17.4
2023-11-30 15:42:32,6.377,1881.0,126.7,17.4
2023-11-30 15:45:32,6.377,1881.0,136.6,17.4
2023-11-30 15:48:33,6.397,1881.0,121.3,17.4
2023-11-30 15:51:33,6.368,1882.0,132.9,17.4
2023-11-30 15:54:34,6.388,1881.0,129.9,17.4
2023-11-30 15:57:35,6.399,1882.0,129.3,17.4
2023-11-30 16:00:36,6.375,1882.0,129.5,17.4
2023-11-30 16:03:36,6.397,1882.0,128.8,17.4
2023-11-30 16:06:37,6.385,1882.0,129.5,17.4
2023-11-30 16:09:37,6.391,1882.0,129.3,17.4
2023-11-30 16:12:38,6.41,1883.0,129.5,17.4
2023-11-30 16:15:39,6.392,1883.0,128.9,17.4
2023-11-30 16:18:39,6.403,1882.0,134.2,17.4
2023-11-30 16:21:40,6.392,1882.0,132.4,17.4
2023-11-30 16:24:41,6.394,1882.0,138.4,17.4
2023-11-30 16:27:41,6.409,1881.0,132.7,17.4
2023-11-30 16:30:42,6.386,1880.0,130.7,17.4
2023-11-30 16:33:42,6.415,1881.0,130.2,17.4
2023-11-30 16:36:43,6.416,1881.0,130.1,17.4
2023-11-30 16:39:44,6.392,1881.0,140.8,17.4
2023-11-30 16:42:44,6.406,1880.0,130.8,17.4
2023-11-30 16:45:45,6.396,1881.0,129.2,17.4
2023-11-30 16:48:45,6.418,1881.0,130.6,17.4
2023-11-30 16:51:46,6.413,1881.0,132.7,17.4
2023-11-30 16:54:47,6.398,1881.0,129.6,17.4
2023-11-30 16:57:47,6.425,1881.0,126.3,17.4
2023-11-30 17:00:48,6.4,1881.0,137.8,17.4
2023-11-30 17:03:49,6.407,1881.0,130.0,17.4
2023-11-30 17:06:49,6.4,1881.0,127.0,17.4
2023-11-30 17:09:50,6.402,1881.0,125.7,17.4
2023-11-30 17:12:50,6.419,1881.0,126.8,17.4
2023-11-30 17:15:51,6.404,1881.0,127.9,17.4
2023-11-30 17:18:52,6.412,1881.0,127.4,17.4
2023-11-30 17:21:52,6.436,1881.0,130.1,17.4
2023-11-30 17:24:53,6.414,1881.0,129.2,17.4
2023-11-30 17:27:54,6.434,1882.0,127.4,17.4
2023-11-30 17:30:54,6.432,1882.0,128.6,17.4
2023-11-30 17:33:55,6.408,1882.0,128.5,17.4
2023-11-30 17:36:55,6.437,1882.0,135.3,17.4
2023-11-30 17:39:56,6.421,1882.0,128.3,17.4
2023-11-30 17:42:57,6.434,1881.0,136.1,17.4
2023-11-30 17:45:57,6.434,1881.0,130.2,17.4
2023-11-30 17:48:58,6.417,1881.0,131.1,17.4
2023-11-30 17:51:58,6.429,1879.0,130.2,17.4
2023-11-30 17:54:59,6.417,1878.0,127.8,17.4
2023-11-30 17:58:00,6.422,1879.0,132.1,17.4
2023-11-30 18:01:00,6.431,1878.0,127.6,17.4
2023-11-30 18:04:01,6.413,1878.0,126.0,17.4
2023-11-30 18:07:02,6.425,1878.0,122.9,17.4
2023-11-30 18:10:01,6.434,1882.0,122.4,17.4
2023-11-30 18:13:01,6.421,1881.0,116.0,17.4
2023-11-30 18:16:01,6.432,1882.0,127.8,17.4
2023-11-30 18:19:01,6.432,1881.0,125.4,17.4
2023-11-30 18:22:00,6.444,1882.0,126.6,17.4
2023-11-30 18:25:00,6.438,1879.0,122.9,17.4
2023-11-30 18:28:00,6.432,1881.0,124.3,17.4
2023-11-30 18:30:59,6.443,1881.0,124.9,17.4
2023-11-30 18:34:13,6.427,1882.0,120.3,17.4
2023-11-30 18:37:13,6.434,1879.0,124.7,17.4
2023-11-30 18:40:13,6.436,1879.0,123.1,17.4
2023-11-30 18:43:12,6.434,1881.0,126.7,17.4
2023-11-30 18:46:12,6.445,1881.0,121.9,17.4
2023-11-30 18:49:12,6.43,1879.0,119.9,17.4
2023-11-30 18:52:12,6.429,1879.0,125.1,17.4
2023-11-30 18:55:12,6.44,1882.0,122.1,17.4
2023-11-30 18:58:11,6.434,1881.0,121.6,17.4
2023-11-30 19:01:11,6.45,1882.0,130.8,17.4
2023-11-30 19:04:11,6.446,1882.0,132.7,17.4
2023-11-30 19:07:10,6.427,1879.0,129.0,17.4
2023-11-30 19:10:10,6.454,1879.0,125.4,17.4
2023-11-30 19:13:10,6.436,1877.0,131.2,17.4
2023-11-30 19:16:10,6.441,1878.0,128.1,17.4
2023-11-30 19:19:10,6.443,1880.0,129.6,17.4
2023-11-30 19:22:09,6.434,1880.0,125.8,17.4
2023-11-30 19:25:09,6.443,1880.0,123.4,17.4
2023-11-30 19:28:09,6.442,1881.0,136.5,17.4
2023-11-30 19:31:09,6.447,1881.0,125.1,17.4
2023-11-30 19:34:08,6.458,1880.0,123.8,17.4
2023-11-30 19:37:08,6.443,1880.0,123.0,17.4
2023-11-30 19:40:08,6.46,1880.0,126.8,17.4
2023-11-30 19:43:08,6.438,1880.0,122.5,17.4
2023-11-30 19:46:07,6.436,1881.0,125.5,17.4
2023-11-30 19:49:07,6.45,1880.0,124.4,17.4
2023-11-30 19:52:07,6.449,1881.0,123.8,17.4
2023-11-30 19:55:07,6.455,1881.0,124.8,17.4
2023-11-30 19:58:06,6.46,1880.0,124.0,17.4
2023-11-30 20:01:06,6.441,1881.0,124.6,17.4
2023-11-30 20:04:06,6.467,1879.0,125.9,17.4
2023-11-30 20:07:05,6.438,1879.0,126.9,17.4
2023-11-30 20:10:05,6.464,1878.0,129.7,17.4
2023-11-30 20:13:05,6.464,1879.0,125.4,17.4
2023-11-30 20:16:05,6.459,1879.0,125.5,17.4
2023-11-30 20:19:04,6.469,1879.0,127.4,17.4
2023-11-30 20:22:04,6.448,1878.0,125.0,17.4
2023-11-30 20:25:04,6.454,1878.0,136.1,17.4
2023-11-30 20:28:04,6.461,1877.0,126.4,17.4
2023-11-30 20:31:03,6.449,1878.0,126.4,17.4
2023-11-30 20:34:03,6.465,1878.0,127.3,17.4
2023-11-30 20:37:03,6.467,1876.0,125.5,17.4
2023-11-30 20:40:03,6.455,1875.0,128.9,17.4
2023-11-30 20:43:03,6.481,1879.0,129.8,17.4
2023-11-30 20:46:02,6.462,1880.0,131.9,17.4
2023-11-30 20:49:02,6.475,1879.0,128.8,17.4
2023-11-30 20:52:02,6.475,1879.0,129.0,17.4
2023-11-30 20:55:02,6.465,1876.0,127.7,17.4
2023-11-30 20:58:01,6.475,1878.0,128.0,17.4
2023-11-30 21:01:01,6.461,1876.0,130.1,17.4
2023-11-30 21:04:01,6.482,1878.0,132.1,17.4
2023-11-30 21:07:01,6.478,1877.0,132.6,17.4
2023-11-30 21:10:00,6.477,1878.0,132.5,17.4
2023-11-30 21:13:00,6.482,1878.0,130.3,17.4
2023-11-30 21:16:00,6.469,1879.0,129.6,17.4
2023-11-30 21:19:00,6.478,1878.0,129.3,17.4
2023-11-30 21:21:59,6.476,1876.0,130.3,17.4
2023-11-30 21:24:59,6.478,1875.0,128.7,17.4
2023-11-30 21:27:59,6.487,1875.0,129.3,17.4
2023-11-30 21:30:59,6.482,1875.0,129.5,17.4
2023-11-30 21:33:58,6.484,1874.0,131.6,17.4
2023-11-30 21:36:58,6.498,1874.0,127.6,17.4
2023-11-30 21:39:58,6.471,1876.0,129.6,17.4
2023-11-30 21:42:58,6.489,1876.0,129.6,17.4
2023-11-30 21:45:57,6.482,1875.0,129.6,17.4
2023-11-30 21:48:57,6.473,1876.0,130.5,17.4
2023-11-30 21:51:57,6.493,1876.0,127.8,17.4
2023-11-30 21:54:58,6.474,1875.0,128.3,17.4
2023-11-30 21:57:58,6.475,1879.0,131.6,17.4
2023-11-30 22:00:57,6.494,1876.0,128.4,17.4
2023-11-30 22:03:57,6.478,1878.0,128.1,17.4
2023-11-30 22:06:57,6.487,1878.0,130.7,17.4
2023-11-30 22:09:57,6.503,1878.0,128.6,17.4
2023-11-30 22:12:56,6.478,1878.0,129.4,17.4
2023-11-30 22:15:56,6.496,1878.0,128.8,17.4
2023-11-30 22:18:56,6.494,1877.0,127.8,17.4
2023-11-30 22:21:56,6.501,1879.0,128.4,17.4
2023-11-30 22:24:55,6.503,1878.0,128.6,17.4
2023-11-30 22:27:55,6.49,1878.0,127.7,17.4
2023-11-30 22:30:55,6.497,1878.0,126.0,17.4
2023-11-30 22:33:55,6.484,1880.0,126.8,17.4
2023-11-30 22:36:54,6.495,1881.0,132.1,17.4
2023-11-30 22:39:54,6.496,1882.0,128.6,17.4
2023-11-30 22:42:54,6.486,1882.0,129.1,17.4
2023-11-30 22:45:54,6.507,1881.0,126.2,17.4
2023-11-30 22:48:53,6.493,1882.0,124.9,17.4
2023-11-30 22:51:53,6.495,1882.0,125.8,17.4
2023-11-30 22:54:53,6.507,1882.0,124.1,17.4
2023-11-30 22:57:53,6.493,1882.0,125.6,17.4
2023-11-30 23:00:52,6.501,1882.0,126.4,17.4
2023-11-30 23:03:52,6.506,1882.0,125.1,17.4
2023-11-30 23:06:52,6.481,1883.0,124.8,17.4
2023-11-30 23:09:52,6.501,1883.0,123.4,17.4
2023-11-30 23:12:51,6.494,1883.0,124.6,17.4
2023-11-30 23:15:51,6.486,1883.0,124.9,17.4
2023-11-30 23:18:51,6.497,1882.0,121.9,17.4
2023-11-30 23:21:51,6.48,1882.0,123.9,17.4
2023-11-30 23:24:50,6.5,1882.0,121.0,17.4
2023-11-30 23:27:50,6.486,1883.0,118.7,17.4
2023-11-30 23:30:50,6.485,1883.0,120.6,17.4
2023-11-30 23:33:50,6.506,1883.0,122.1,17.4
2023-11-30 23:36:49,6.497,1883.0,120.8,17.4
2023-11-30 23:39:49,6.505,1883.0,121.3,17.4
2023-11-30 23:42:49,6.501,1882.0,120.6,17.4
2023-11-30 23:45:49,6.499,1882.0,121.9,17.4
2023-11-30 23:48:48,6.501,1882.0,121.5,17.4
2023-11-30 23:51:48,6.497,1882.0,123.4,17.4
2023-11-30 23:54:48,6.499,1882.0,125.1,17.4
2023-11-30 23:57:48,6.496,1882.0,121.8,17.4
2023-12-01 00:00:47,6.502,1882.0,123.4,17.4
2023-12-01 00:03:47,6.514,1882.0,123.7,17.4
2023-12-01 00:06:47,6.488,1882.0,122.4,17.4
2023-12-01 00:09:46,6.503,1883.0,124.6,17.4
2023-12-01 00:12:46,6.516,1883.0,121.2,17.4
2023-12-01 00:15:46,6.501,1883.0,122.0,17.4
2023-12-01 00:18:46,6.505,1884.0,121.8,17.4
2023-12-01 00:21:45,6.519,1884.0,117.4,17.4
2023-12-01 00:24:45,6.499,1883.0,121.8,17.4
2023-12-01 00:27:45,6.508,1883.0,122.1,17.4
2023-12-01 00:30:45,6.488,1884.0,121.6,17.4
2023-12-01 00:33:44,6.508,1884.0,121.7,17.4
2023-12-01 00:36:44,6.513,1884.0,120.7,17.4
2023-12-01 00:39:44,6.497,1884.0,121.3,17.4
2023-12-01 00:42:44,6.508,1883.0,120.5,17.4
2023-12-01 00:45:43,6.494,1884.0,119.1,17.4
2023-12-01 00:48:43,6.493,1884.0,121.3,17.4
2023-12-01 00:51:43,6.515,1884.0,120.1,17.4
2023-12-01 00:54:43,6.492,1884.0,121.3,17.4
2023-12-01 00:57:43,6.522,1884.0,120.8,17.4
2023-12-01 01:00:42,6.501,1884.0,119.2,17.4
2023-12-01 01:03:42,6.509,1883.0,120.7,17.4
2023-12-01 01:06:42,6.521,1883.0,121.0,17.4
2023-12-01 01:09:42,6.503,1883.0,121.6,17.4
2023-12-01 01:12:41,6.507,1884.0,122.2,17.4
2023-12-01 01:15:42,6.518,1883.0,120.6,17.4
2023-12-01 01:18:41,6.495,1884.0,121.2,17.4
2023-12-01 01:21:41,6.526,1884.0,121.0,17.4
2023-12-01 01:24:41,6.496,1885.0,120.1,17.4
2023-12-01 01:27:40,6.502,1884.0,120.6,17.4
2023-12-01 01:30:40,6.526,1884.0,120.7,17.4
2023-12-01 01:33:40,6.499,1884.0,119.9,17.4
2023-12-01 01:36:40,6.515,1884.0,120.7,17.4
2023-12-01 01:39:40,6.504,1884.0,119.3,17.4
2023-12-01 01:42:39,6.499,1885.0,122.8,17.4
